Course Title,Rating,Reviews,Level,Skill Outcome,Exact Learning Period
Gestion de projet de Google,4.5 stars,14 reviews,Beginner," Strategy and Operations, Communication, Project Management ",3-6 months
Google شهادة تقنية المعلومات من,4.8 stars,419 reviews,Beginner," Computer Networking, Security Engineering, Operating Systems ",3-6 months
Object Oriented Programming specialization ,4.8 stars,27 reviews,Intermediate," C++ Programming, Computer Programming, Communication ",1-3 months
Systems Biology and Biotechnology specialization ,4.4 stars,922 reviews,Intermediate," Probability & Statistics, Bioinformatics, Experiment ",3-6 months
BIM Fundamentals for Engineers free,4.7 stars,1.5k reviews,Beginner," Computer Graphics, Graphics Software ",1-3 months
Digitalisation in Aeronautics and Space specialization ,4.6 stars,370 reviews,Intermediate," Strategy and Operations, Computer Architecture, Computer Networking ",3-6 months
Solar Energy System Design,4.7 stars,343 reviews,Intermediate," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months
GPU Programming specialization ,2.7 stars,55 reviews,Intermediate," Computer Graphic Techniques, Computer Graphics, Computer Programming ",3-6 months
Autodesk Certified Professional: Revit for Structural Design Exam Prep,4.7 stars,412 reviews,Advanced," Computer Graphics, Graphics Software, Collaboration ",1 month
"Parallel, Concurrent, and Distributed Programming in Java specialization ",4.6 stars,1.6k reviews,Intermediate," Computer Programming, Theoretical Computer Science, Java Programming ",3-6 months
Introduction to Relational Databases (RDBMS),4.7 stars,405 reviews,Beginner," Data Management, Data Model, Database Theory ",1 month
Fundamentals of Flight mechanics specialization ,4.7 stars,320 reviews,Beginner," Mathematics, Linear Algebra, Applied Mathematics ",3-6 months
Linux System Programming and Introduction to Buildroot,3.9 stars,45 reviews,Advanced," Computer Programming, Operating Systems, Computer Programming Tools ",1 month
How Software Ate Finance free,4.7 stars,115 reviews,Mixed," Finance, FinTech, Banking ",1-3 months
Managing Machine Learning Projects,4.7 stars,77 reviews,Beginner," Machine Learning, Applied Machine Learning, Leadership and Management ",1-3 months
Discrete Optimization free,4.8 stars,728 reviews,Intermediate," Computer Science, Mathematics, Applied Mathematics ",1-3 months
A Practitioner's Approach to Power Distribution & Automation specialization ,4.6 stars,55 reviews,Intermediate," Project Management, Strategy and Operations, Operating Systems ",3-6 months
"ETL and Data Pipelines with Shell, Airflow and Kafka",4.5 stars,227 reviews,Intermediate," Extract, Transform, Load, Data Management, Data Warehousing ",1-3 months
Introduction to Industrial Bioprocess Development free,4.8 stars,62 reviews,Beginner," Business Analysis, Clinical Data Management, Computer Architecture ",1-3 months
"Build AI Apps with ChatGPT, Dall-E, and GPT-4 new",3.9 stars,18 reviews,Intermediate," Advertising, Business Psychology, Communication ",1 month
ChatGPT for Beginners: SciFi Writing with Dall-e new guided project ,3.7 stars,18 reviews,Beginner," Human Computer Interaction, Communication, Critical Thinking ",1 month
"Open Source Software Development, Linux and Git specialization ",4.6 stars,2.9k reviews,Beginner," Operating Systems, Application Development, Software Engineering Tools ",3-6 months
Robotics: Aerial Robotics,4.5 stars,3k reviews,Mixed," Entrepreneurship, Leadership and Management, Mathematics ",1 month
International Security Management free,4.7 stars,985 reviews,Beginner," Entrepreneurship, Leadership and Management, Marketing ",1-3 months
Databases for Data Scientists specialization ,4.7 stars,567 reviews,Beginner," Databases, Data Management, Statistical Programming ",3-6 months
Software Architecture Patterns for Big Data,3.8 stars,5 reviews,Advanced," Software Engineering, Software Testing, Big Data ",1 month
Requirements Writing,4.6 stars,304 reviews,Mixed," Design and Product, Product Design, Software Architecture ",1-3 months
"Remote Sensing Image Acquisition, Analysis and Applications",4.6 stars,113 reviews,Intermediate," Machine Learning, Computer Vision, Algorithms ",3-6 months
"Solar Energy for Engineers, Architects and Code Inspectors specialization ",4.7 stars,1.2k reviews,Beginner," Operating Systems, Systems Design, Theoretical Computer Science ",3-6 months
Vital Skills for Data Science specialization ,4.3 stars,70 reviews,Intermediate," Data Management, Data Visualization, Databases ",3-6 months
"Modern Robotics, Course 1:  Foundations of Robot Motion",4.7 stars,888 reviews,Intermediate," Mathematics, Linear Algebra, Algebra ",1-3 months
Human Factors in AI,4.7 stars,36 reviews,Beginner," Machine Learning, Human Computer Interaction, Business Psychology ",1 month
Materials Science for Technological Application specialization ,4.7 stars,26 reviews,Beginner," Computational Logic, Computer Programming, General Statistics ",3-6 months
Networking and Security Architecture with VMware NSX,4.7 stars,432 reviews,Intermediate," Computer Networking, Information Technology, Software-Defined Networking ",1-3 months
Autodesk Generative Design for Manufacturing specialization ,4.8 stars,340 reviews,Advanced," Computer Graphics, Design and Product, Graphic Design ",3-6 months
Introduction to iOS Mobile Application Development,4.7 stars,622 reviews,Beginner," Application Development, Mobile Development, Software Engineering ",1 month
Introduction to battery-management systems,4.8 stars,2k reviews,Intermediate," Leadership and Management, Design and Product, Entrepreneurship ",1-3 months
Exploring Renewable Energy Schemes free,4.7 stars,541 reviews,Beginner," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months
Ethical Hacking Essentials (EHE),4.6 stars,172 reviews,Beginner," Computer Networking, Network Security, Security Engineering ",1-3 months
Hands-on Machine Learning with AWS and NVIDIA,2.5 stars,15 reviews,Intermediate," Machine Learning, Adaptability, Amazon Web Services ",1 month
3D CAD Fundamental free,4.7 stars,512 reviews,Beginner," Computer Graphic Techniques, Computer Graphics, Algorithms ",1-3 months
Machine Learning with ChatGPT: Image Classification Model new guided project ,4.5 stars,13 reviews,Intermediate," Machine Learning, Computer Programming, Python Programming ",1 month
BIM Application for Engineers free,4.7 stars,426 reviews,Intermediate," Computer Graphics, Graphics Software, Budget Management ",1-3 months
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning new specialization ,2.3 stars,-,Beginner," Algorithms, Data Management, Data Model ",1-3 months
Getting Started with Generative AI APIs new,3.8 stars,10 reviews,Beginner," Computer Programming, Computer Programming Tools, Python Programming ",1 month
Artificial Creativity,4.5 stars,42 reviews,Intermediate," Entrepreneurship, Research and Design, Creativity ",1-3 months
Advanced Django: Mastering Django and Django Rest Framework specialization ,4.6 stars,108 reviews,Advanced," Computer Programming, Web Development, Advertising ",3-6 months
"Energy, Environment, and Everyday Life",4.7 stars,205 reviews,Beginner," Business Analysis, Critical Thinking, Econometrics ",1-3 months
Introduction to Java,4.6 stars,1.6k reviews,Beginner," Computer Programming, Java Programming, Data Management ",1 month
Introduction to Data Analytics for Accounting Professionals,4.7 stars,49 reviews,Beginner," Data Analysis, Data Management, Business Analysis ",1 month
Wireshark for Basic Network Security Analysis guided project ,4.5 stars,190 reviews,Intermediate," Computer Networking, Mathematics, Network Analysis ",1 month
Transmission electron microscopy for materials science free,4.6 stars,109 reviews,Intermediate," Algorithms, Theoretical Computer Science, Business Analysis ",1-3 months
AI and the Illusion of Intelligence,4.6 stars,7 reviews,Beginner," Machine Learning, Applied Machine Learning, Computational Thinking ",1 month
International Cyber Conflicts free,4.5 stars,1.4k reviews,Mixed," Computer Networking, Computer Security Incident Management, Computer Security Models ",1-3 months
Product Development using AutoCAD guided project ,4.5 stars,92 reviews,Beginner," Computer Graphic Techniques, Computer Graphics, Graphics Software ",1 month
Fundamentals of Materials Science free,4.6 stars,135 reviews,Intermediate," Supply Chain and Logistics, Advertising, Communication ",3-6 months
Introduction to Applied Cryptography free,4.4 stars,18 reviews,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",1 month
Visual Perception and the Brain free,4.6 stars,251 reviews,Mixed," Entrepreneurship, Research and Design, Algorithms ",1-3 months
Electric Power Systems,4.7 stars,7.2k reviews,Beginner," Computer Architecture, Computer Networking, Network Architecture ",1 month
Object Oriented Development using C#,3.2 stars,10 reviews,Intermediate," Computer Programming, Programming Principles, Other Programming Languages ",1 month
Digitalisation in Aeronautics,4.7 stars,152 reviews,Intermediate," Computer Architecture, Computer Networking, Network Architecture ",1-3 months
Advanced Topics in Derivative Pricing,4.4 stars,16 reviews,Advanced," Finance, Risk Management, Investment Management ",1-3 months
Relational Database Design,4.7 stars,121 reviews,Beginner," Database Design, Databases, Data Management ",1 month
"Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications",4.8 stars,494 reviews,Advanced," Accounting, Audit, Mathematics ",1-3 months
Performance Testing with JMeter for absolute beginners guided project ,4.5 stars,45 reviews,beginner," Computer Programming, Entrepreneurship, Market Research ",1 month
Introduction to Solid Edge,4.8 stars,24 reviews,Beginner," Advertising, Communication, Marketing ",1-3 months
Flight mechanics - The basis,4.7 stars,280 reviews,Beginner," Linear Algebra, Mathematics, Computer Graphic Techniques ",1 month
"Problem Solving, Python Programming, and Video Games free",4.3 stars,208 reviews,Beginner," Computer Programming, Python Programming, Statistical Programming ",1-3 months
MLOps Platforms: Amazon SageMaker and Azure ML new,4.2 stars,12 reviews,Advanced," Machine Learning, Microsoft Azure, Python Programming ",1-3 months
Motors and Motor Control Circuits,4.7 stars,1.3k reviews,Intermediate," Machine Learning, Computer Programming Tools ",1-3 months
Cybersecurity for Managers free,4.7 stars,299 reviews,Beginner," Security Engineering, Cyberattacks, Operating Systems ",1-3 months
Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,4.8 stars,1.1k reviews,Advanced," Algorithms, Computer Graphic Techniques, Computer Graphics ",1 month
Geospatial and Environmental Analysis,4.8 stars,1.2k reviews,Intermediate," ArcGIS, Statistical Programming, Data Analysis ",1 month
Networks and Communications Security,4.7 stars,237 reviews,Beginner," Computer Architecture, Computer Networking, Network Architecture ",1-3 months
Mastering Statics free,4.8 stars,158 reviews,Intermediate," Mathematics, Mathematical Theory & Analysis ",1-3 months
Intel® Network Academy - Network Transformation 101 free,4.5 stars,487 reviews,Beginner," Computer Networking, Computer Architecture, Network Architecture ",1 month
"Data Engineer, Big Data and ML on Google Cloud en Français specialization ",4.4 stars,47 reviews,Intermediate," Cloud Computing, Google Cloud Platform, Business Psychology ",3-6 months
Cybersecurity for Tech Professionals free,4.7 stars,86 reviews,Intermediate," Security Engineering, Operating Systems, System Security ",1-3 months
Learn to Program: Crafting Quality Code free,4.6 stars,710 reviews,Mixed," Computer Programming, Computer Science, Python Programming ",1-3 months
Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,4.8 stars,732 reviews,Intermediate," Algorithms, Data Analysis, Design and Product ",1 month
Build a Full Website using WordPress guided project ,4.4 stars,3.6k reviews,Advanced," MarTech, Social Media, Software Engineering ",1 month
Introduction to Materials Science,4.7 stars,20 reviews,Beginner," Computational Logic, Computer Programming, Java Programming ",1-3 months
Encryption and Decryption using C++ guided project ,4.8 stars,5 reviews,Intermediate," Cryptography, Security Engineering, Theoretical Computer Science ",1 month
Digitalisation in the Aerospace Industry,4.6 stars,217 reviews,Intermediate," Strategy and Operations, Design and Product, Product Lifecycle ",1 month
Spatial Analysis and Satellite Imagery in a GIS,4.9 stars,528 reviews,Beginner," ArcGIS, Data Analysis, Spatial Analysis ",1-3 months
Electrical Power Distribution,4.5 stars,39 reviews,Beginner," Project Management, Strategy and Operations, Operating Systems ",1-3 months
Data-Driven Process Improvement,4.6 stars,171 reviews,Beginner," Strategy and Operations, Business Analysis, Business Process Management ",1 month
Solar Energy and Electrical System Design,4.7 stars,623 reviews,Intermediate," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months
Build a free website with WordPress guided project ,4.4 stars,148 reviews,Intermediate," Computer Programming, Computer Programming Tools, Front-End Web Development ",1 month
Project Planning and Machine Learning,4.6 stars,100 reviews,Intermediate," Data Management, Machine Learning, Strategy and Operations ",1 month
Leadership Principles for Software Engineers,4.7 stars,27 reviews,Beginner," Human Resources, Leadership Development, Leadership and Management ",1 month
Test Driven Development Process For Beginners In Python guided project ,3.1 stars,7 reviews,Beginner," Software Engineering, Software Testing, Python Programming ",1 month
Build a mobile app with Google Sheets on Glide and no coding guided project ,4.5 stars,570 reviews,Beginner," Application Development, Mobile Development, Software Engineering ",1 month
Predictive Analytics for Business with H2O in R guided project ,4.9 stars,50 reviews,Intermediate," Algorithms, Big Data, Data Management ",1 month
Introduction to Basic Game Development using Scratch guided project ,4.5 stars,1.3k reviews,Beginner," Application Development, Computational Thinking, Computer Programming ",1 month
The Age of Sustainable Development free,4.8 stars,3.3k reviews,Mixed," Entrepreneurship, Leadership and Management, Business Analysis ",3-6 months
Analysis of Algorithms free,4.5 stars,227 reviews,Advanced," Mathematics, Mathematical Theory & Analysis, Algorithms ",1-3 months
Graphic design: pop your Linkedin with 3D effect using Canva guided project ,4.3 stars,35 reviews,Beginner," Computer Graphics, Graphic Design, Research and Design ",1 month
Cybersecurity Awareness and Innovation free,4.6 stars,597 reviews,Beginner," Security Engineering, Operating Systems, Software Security ",1-3 months
Cloud Computing Security,4.5 stars,110 reviews,Beginner," Cloud Computing, Amazon Web Services, Computer Networking ",1 month
Deep Learning with PyTorch : Object Localization guided project ,4.5 stars,31 reviews,Intermediate," Applied Machine Learning, Artificial Neural Networks, Computer Vision ",1 month
Software Developer Career Guide and Interview Preparation free,4.7 stars,70 reviews,Beginner," Entrepreneurship, Business Psychology, Human Resources ",1 month
Software Architecture for the Internet of Things free,4.3 stars,227 reviews,Mixed," Software Engineering, Software Architecture, Theoretical Computer Science ",1-3 months
Environmental Hazards and Global Public Health,4.8 stars,45 reviews,Mixed," Accounting, Audit, Computer Graphics ",1 month
Imagining Other Earths free,4.7 stars,377 reviews,Mixed," Business Communication, Communication, Computer Graphics ",3-6 months
Comprendre les Microcontroleurs free,4.6 stars,102 reviews,Intermediate," Computational Logic, Theoretical Computer Science, Internet Of Things ",1-3 months
Cybersecurity and Mobility,4.5 stars,609 reviews,Beginner," Security Engineering, Mobile Development, Mobile Security ",1 month
Usability Testing with Hotjar guided project ,4.1 stars,15 reviews,Intermediate," Business Psychology, Design and Product, Human Computer Interaction ",1 month
Generative Design for Performance and Weight Reduction,4.8 stars,89 reviews,Intermediate," Computer Graphics, Product Design ",1 month
Rapid Prototyping of Embedded Interface Designs,3.2 stars,5 reviews,Intermediate, Design and Product ,1 month
Google Digital Marketing & E-commerce,4.8 stars,18.1k reviews,Beginner," Digital Marketing, Marketing, Marketing Management ",3-6 months
Data Science Fundamentals with Python and SQL specialization ,4.5 stars,57.3k reviews,Beginner," Python Programming, General Statistics, Probability & Statistics ",3-6 months
Key Technologies for Business specialization ,4.7 stars,78.9k reviews,Beginner," Data Science, Cloud Computing, Applied Machine Learning ",1-3 months
IBM & Darden Digital Strategy specialization ,4.7 stars,27.7k reviews,Beginner," Entrepreneurship, Strategy and Operations, Business Analysis ",3-6 months
AI Foundations for Everyone specialization ,4.7 stars,13.5k reviews,Beginner," Machine Learning, Applied Machine Learning, Data Science ",3-6 months
Supervised Machine Learning: Regression and Classification,4.9 stars,12.8k reviews,Beginner," Machine Learning, Probability & Statistics, Regression ",1 month
"BI Foundations with SQL, ETL and Data Warehousing specialization ",4.6 stars,19.1k reviews,Beginner," Data Management, SQL, Data Warehousing ",3-6 months
IT Fundamentals for Cybersecurity specialization ,4.6 stars,19k reviews,Beginner," Security Engineering, Cyberattacks, Network Security ",3-6 months
Play It Safe: Manage Security Risks new,4.8 stars,2k reviews,Beginner," Security Engineering, Finance, Regulations and Compliance ",1 month
Meta Social Media Marketing,4.8 stars,16.6k reviews,Beginner," Marketing, Digital Marketing, Social Media ",3-6 months
Foundations of Digital Marketing and E-commerce,4.8 stars,13.3k reviews,Beginner," Digital Marketing, Marketing, Media Strategy & Planning ",1 month
Meta Android Developer,4.7 stars,4.2k reviews,Beginner," Mobile Development, Computer Programming, Web Development ",3-6 months
Meta iOS Developer,4.7 stars,4.1k reviews,Beginner," Mobile Development, Swift Programming, iOS Development ",3-6 months
Become a CBRS Certified Professional Installer ,4.6 stars,183 reviews,Mixed," SAS (Software), Statistical Programming, Business Psychology ",1-3 months
AI For Business specialization ,4.7 stars,282 reviews,Beginner," Machine Learning, Entrepreneurship, Leadership and Management ",3-6 months
Análisis de Datos de Google,4.8 stars,5.5k reviews,Beginner," Data Analysis, Data Management, Statistical Programming ",3-6 months
Prepare Data for Exploration,4.8 stars,16.3k reviews,Beginner," Spreadsheet Software, Data Structures, SQL ",1-3 months
Digital Product Management specialization ,4.7 stars,9k reviews,Beginner," Design and Product, Agile Software Development, Software Engineering ",3-6 months
Tools of the Trade: Linux and SQL new,4.8 stars,800 reviews,Beginner," Human Computer Interaction, Operating Systems, Software Architecture ",1 month
Neural Networks and Deep Learning,4.9 stars,119.3k reviews,Intermediate," Artificial Neural Networks, Deep Learning, Machine Learning ",1 month
Leading the Modern Day Business specialization ,4.7 stars,19.1k reviews,Beginner," Leadership and Management, Strategy and Operations, Strategy ",3-6 months
IBM Introduction to Machine Learning specialization ,4.6 stars,1.7k reviews,Intermediate," Machine Learning, Machine Learning Algorithms, Regression ",3-6 months
AWS Fundamentals specialization ,4.8 stars,4.1k reviews,Beginner," Cloud Computing, Amazon Web Services, Information Technology ",3-6 months
Digital Marketing specialization ,4.7 stars,22.2k reviews,Beginner," Marketing, Digital Marketing, Research and Design ",3-6 months
Operating Systems and You: Becoming a Power User,4.7 stars,25.9k reviews,Beginner," Operating Systems, System Software, Computer Architecture ",1-3 months
Diseño de Experiencia del Usuario (UX) de Google,4.9 stars,2.6k reviews,Beginner," Human Computer Interaction, Research and Design, User Experience ",3-6 months
"Assets, Threats, and Vulnerabilities new",4.8 stars,487 reviews,Beginner," Operating Systems, Security Engineering, System Security ",1 month
DevOps on AWS specialization ,4.8 stars,4.2k reviews,Intermediate," Cloud Computing, DevOps, Devops Tools ",1-3 months
Introduction to Programming with Python and Java specialization ,4.4 stars,1.4k reviews,Beginner," Computer Programming, Python Programming, Statistical Programming ",3-6 months
Search Engine Optimization (SEO) specialization ,4.6 stars,11.9k reviews,Beginner," Marketing, Digital Marketing, Search Engine Optimization ",3-6 months
Python 3 Programming specialization ,4.7 stars,20.9k reviews,Beginner," Computer Programming, Python Programming, Computer Science ",3-6 months
Data Science: Foundations using R specialization ,4.6 stars,47.6k reviews,Beginner," R Programming, Data Analysis, Data Science ",3-6 months
Preparing for Google Cloud Certification: Machine Learning Engineer,4.6 stars,25.3k reviews,Intermediate," Machine Learning, Cloud Computing, Computer Programming ",3-6 months
Applied Data Science with Python specialization ,4.5 stars,33.3k reviews,Intermediate," Python Programming, Machine Learning, Data Analysis ",3-6 months
Genomic Data Science specialization ,4.5 stars,6k reviews,Intermediate," Probability & Statistics, Bioinformatics, Computer Programming ",3-6 months
Analyze Data to Answer Questions,4.6 stars,8.9k reviews,Beginner," SQL, Spreadsheet Software, Data Analysis ",1 month
Certified in Cybersecurity specialization ,4.8 stars,301 reviews,Beginner," Security Engineering, Operating Systems, System Security ",3-6 months
Security Analyst Fundamentals specialization ,4.7 stars,3.5k reviews,Beginner," Security Engineering, Cyberattacks, Security Strategy ",3-6 months
Meta Marketing Analytics,4.7 stars,1.9k reviews,Beginner," Marketing, Digital Marketing, Advertising ",3-6 months
AI for Medicine specialization ,4.7 stars,2.2k reviews,Intermediate," Machine Learning, Machine Learning Algorithms, Python Programming ",1-3 months
Sound the Alarm: Detection and Response new,4.8 stars,362 reviews,Beginner," Security Engineering, Computer Security Incident Management, Audit ",1 month
System Administration and IT Infrastructure Services,4.7 stars,23k reviews,Beginner," Computer Networking, Network Model, Computer Security Incident Management ",1-3 months
Regulatory Compliance specialization ,4.8 stars,2k reviews,Intermediate," Finance, Regulations and Compliance, Leadership and Management ",3-6 months
Practical Data Science on the AWS Cloud specialization ,4.5 stars,490 reviews,Advanced," Machine Learning, Advertising, Algorithms ",1-3 months
Reinforcement Learning specialization ,4.7 stars,3.2k reviews,Intermediate," Machine Learning, Reinforcement Learning, Artificial Neural Networks ",3-6 months
Google データアナリティクス,4.7 stars,261 reviews,Beginner," Data Analysis, Statistical Programming, Data Management ",3-6 months
Preparing for Google Cloud Certification: Cloud Data Engineer,4.6 stars,18k reviews,Intermediate," Cloud Computing, Computer Architecture, Data Management ",3-6 months
UI / UX Design specialization ,4.7 stars,7k reviews,Beginner," Human Computer Interaction, User Experience, User Research ",3-6 months
Preparing for Google Cloud Certification: Cloud Architect,4.7 stars,57.4k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Cloud Platforms ",3-6 months
Mergers and Acquisitions specialization ,4.6 stars,208 reviews,Intermediate," Finance, Mergers & Acquisitions, Accounting ",3-6 months
Soporte de Tecnologías de la Información de Google,4.9 stars,13.7k reviews,Beginner," Operating Systems, Theoretical Computer Science, Security Engineering ",3-6 months
Architecting with Google Compute Engine specialization ,4.7 stars,56.3k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Web Development ",3-6 months
Agile Development specialization ,4.7 stars,4.5k reviews,Beginner," Agile Software Development, Software Engineering, Computer Science ",3-6 months
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9 stars,62.3k reviews,Intermediate," Deep Learning, Machine Learning, Probability & Statistics ",1 month
Preparing for Google Cloud Certification: Cloud Security Engineer,4.7 stars,48.3k reviews,Intermediate," Cloud Computing, Computer Networking, Security Engineering ",3-6 months
"NoSQL, Big Data, and Spark Foundations specialization ",4.4 stars,386 reviews,Beginner," Big Data, Data Architecture, Apache ",3-6 months
IT Security: Defense against the digital dark arts,4.8 stars,20.2k reviews,Beginner," Security Engineering, Computer Networking, Cryptography ",1-3 months
Preparing for Google Cloud Certification: Cloud Developer,4.7 stars,50.8k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Operating Systems ",3-6 months
MATLAB Programming for Engineers and Scientists specialization ,4.8 stars,17.4k reviews,Beginner," Computer Programming, Other Programming Languages, Linear Algebra ",3-6 months
Microsoft Azure Fundamentals AZ-900 Exam Prep specialization ,4.6 stars,2.2k reviews,Beginner," Cloud Computing, Microsoft Azure, Computer Networking ",3-6 months
Build Wireframes and Low-Fidelity Prototypes,4.9 stars,7.1k reviews,Beginner," Design and Product, Human Computer Interaction, Product Design ",1 month
"Product Ideation, Design, and Management specialization ",4.5 stars,400 reviews,Beginner," Entrepreneurship, Design and Product, Leadership and Management ",3-6 months
Architecting with Google Kubernetes Engine specialization ,4.7 stars,48.4k reviews,Beginner," Cloud Computing, Kubernetes, Google Cloud Platform ",3-6 months
Put It to Work: Prepare for Cybersecurity Jobs new,4.9 stars,413 reviews,Beginner," Communication, Computer Programming, Computer Security Incident Management ",1-3 months
Developing Applications with Google Cloud specialization ,4.7 stars,47.9k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Web Development ",3-6 months
Security in Google Cloud specialization ,4.7 stars,47.6k reviews,Intermediate," Cloud Computing, Security Engineering, Computer Networking ",3-6 months
Preparing for Google Cloud Certification: Cloud Network Engineer,4.7 stars,47.8k reviews,Intermediate," Cloud Computing, Web Development, Computer Networking ",3-6 months
Networking in Google Cloud specialization ,4.7 stars,47.7k reviews,Intermediate," Cloud Computing, Web Development, Computer Networking ",3-6 months
Google Data Analytics (PT),4.9 stars,2.4k reviews,Beginner," Data Analysis, Business Analysis, Data Management ",3-6 months
(ISC)² Systems Security Certified Practitioner (SSCP) specialization ,4.7 stars,461 reviews,Beginner," Security Engineering, Computer Networking, Leadership and Management ",3-6 months
IBM Mainframe Developer,4.6 stars,904 reviews,Intermediate," Computer Programming, Other Programming Languages, Software Engineering ",3-6 months
Agile with Atlassian Jira free,4.7 stars,8.1k reviews,Beginner," Project Management, Strategy and Operations, Jira (Software) ",1 month
Introduction to Cybersecurity Tools & Cyber Attacks,4.6 stars,14.3k reviews,Beginner," Security Engineering, Computer Security Incident Management, Cryptography ",1 month
Software Product Management specialization ,4.7 stars,11.2k reviews,Beginner," Software Engineering, Design and Product, Agile Software Development ",3-6 months
Software Architecture for Big Data specialization ,3.2 stars,19 reviews,Advanced," Software Engineering, BlockChain, Computer Programming ",1-3 months
Project Management specialization ,4.8 stars,346 reviews,Beginner," Leadership and Management, Strategy and Operations, Project Management ",1-3 months
Web Design for Everybody: Basics of Web Development & Coding specialization ,4.7 stars,33.8k reviews,Beginner," Web Development, HTML and CSS, Computer Programming ",3-6 months
Machine Learning on Google Cloud specialization ,4.5 stars,9.5k reviews,Intermediate," Machine Learning, Cloud Computing, Computer Programming ",3-6 months
Business Data Management and Communication specialization ,4.7 stars,5.7k reviews,Intermediate," Accounting, Data Management, Financial Accounting ",3-6 months
Digital Manufacturing & Design Technology specialization ,4.6 stars,6.5k reviews,Beginner," Strategy and Operations, Design and Product, Entrepreneurship ",3-6 months
Pricing Strategy Optimization specialization ,4.8 stars,854 reviews,Beginner," Strategy, Sales, Marketing ",3-6 months
Sequence Models,4.8 stars,29.5k reviews,Intermediate," Artificial Neural Networks, Deep Learning, Machine Learning ",1 month
Google IT Support,4.5 stars,97 reviews,Beginner," Computer Networking, Computer Architecture, Network Architecture ",3-6 months
AI Fundamentals for Non-Data Scientists,4.7 stars,154 reviews,Mixed," Data Management, Machine Learning, Artificial Neural Networks ",1 month
Introductory C Programming specialization ,4.6 stars,7k reviews,Beginner," Computer Programming, C Programming Language Family, Computer Science ",3-6 months
An Introduction to Programming the Internet of Things (IOT) specialization ,4.7 stars,19.5k reviews,Beginner," Computer Architecture, Internet Of Things, Computer Programming ",3-6 months
Game Design: Art and Concepts specialization ,4.7 stars,3.7k reviews,Beginner," Communication, Computer Graphics, Creativity ",3-6 months
Google UX Design (PT),4.9 stars,1.7k reviews,Beginner," Business Psychology, Research and Design, User Experience Design ",3-6 months
Real-World Product Management specialization ,4.5 stars,765 reviews,Beginner," Entrepreneurship, Leadership and Management, Strategy and Operations ",3-6 months
Executive Data Science specialization ,4.5 stars,10.8k reviews,Beginner," Data Analysis, Probability & Statistics, Exploratory Data Analysis ",1-3 months
MLOps | Machine Learning Operations new specialization ,3.9 stars,67 reviews,Advanced," Computer Programming, Python Programming, Statistical Programming ",3-6 months
Trading Strategies in Emerging Markets specialization ,4.2 stars,2.6k reviews,Beginner," Finance, Investment Management, Accounting ",3-6 months
Reducing Gun Violence in America: Evidence for Change,4.7 stars,252 reviews,Beginner," Epidemiology, Probability & Statistics, Human Computer Interaction ",1-3 months
Create High-Fidelity Designs and Prototypes in Figma,4.8 stars,3.1k reviews,Beginner," Collaboration, Computer Science, Change Management ",1-3 months
Music Education for Teachers specialization ,4.8 stars,2.8k reviews,Intermediate," Research and Design, Entrepreneurship, Creativity ",3-6 months
Google Cloud Digital Leader Training,4.7 stars,3.4k reviews,Beginner," Cloud Computing, Cloud Infrastructure, Cloud Platforms ",3-6 months
Robotics specialization ,4.4 stars,3.8k reviews,Beginner," Mathematics, Data Analysis, Entrepreneurship ",3-6 months
Transforming the Fashion Business specialization ,4.7 stars,381 reviews,Intermediate," Entrepreneurship, Leadership and Management, Marketing ",1-3 months
IBM z/OS Mainframe Practitioner,4.7 stars,1.1k reviews,Intermediate," Operating Systems, Theoretical Computer Science, Computer Programming ",1-3 months
Excel to MySQL: Analytic Techniques for Business specialization ,4.6 stars,15k reviews,Beginner," Data Analysis, Probability & Statistics, Business Analysis ",3-6 months
Design Thinking specialization ,4.7 stars,54 reviews,Beginner," Entrepreneurship, Leadership and Management, Problem Solving ",3-6 months
Google IT Support (Deutsch),4.7 stars,179 reviews,Beginner," Computer Networking, Computer Architecture, Network Security ",3-6 months
Game Design and Development with Unity 2020 specialization ,4.7 stars,487 reviews,Beginner," Software Engineering, Game Theory, Mathematics ",3-6 months
C# Programming for Unity Game Development specialization ,4.6 stars,2.5k reviews,Beginner," Computer Programming, Other Programming Languages, C Programming Language Family ",3-6 months
Advanced Embedded Linux Development new specialization ,4.0 stars,48 reviews,Advanced," Computer Programming, Operating Systems, Linux ",1-3 months
PostgreSQL for Everybody specialization ,4.7 stars,967 reviews,Intermediate," Databases, SQL, Computer Programming ",3-6 months
AWS Cloud Technical Essentials,4.8 stars,4k reviews,Beginner," Amazon Web Services, Cloud Computing, Cloud Load Balancing ",1-3 months
