Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Artificial Intelligence: an Overview specialization ,4.6 stars,142 reviews,Artificial Intelligence: an Overview specialization by Politecnico di Milano,Beginner," Machine Learning, Theoretical Computer Science, Computational Thinking ",3-6 months,/specializations/artificial-intelligence-overview,,,,,,,,,,0
"Modern Robotics:  Mechanics, Planning, and Control specialization ",4.7 stars,1k reviews,Modern Robotics:  Mechanics,Intermediate," Mathematics, Linear Algebra, Calculus ",3-6 months,/specializations/modernrobotics,,,,,,,,,,0
Introduction to Web Development,4.7 stars,3.6k reviews,Introduction to Web Development course by University of California,Beginner," Web Development, HTML and CSS, Javascript ",1-3 months,/learn/web-development,,,,,,,,,,0
Introduction to User Experience Design free,4.5 stars,7.8k reviews,Introduction to User Experience Design free course by Georgia Institute of Technology,Beginner," Design and Product, Human Computer Interaction, Product Design ",1-3 months,/learn/user-experience-design,,,,,,,,,,0
AI for Medical Diagnosis,4.7 stars,1.9k reviews,AI for Medical Diagnosis course by DeepLearning.AI,Intermediate," Machine Learning, Python Programming, Artificial Neural Networks ",1 month,/learn/ai-for-medical-diagnosis,,,,,,,,,,0
Power Electronics specialization ,4.7 stars,4k reviews,Power Electronics specialization by University of Colorado Boulder,Intermediate," Research and Design, Mathematics, Operations Research ",3-6 months,/specializations/power-electronics,,,,,,,,,,0
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.7 stars,2.5k reviews,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep course by Autodesk,Advanced," Computer Graphic Techniques, Computer Graphics, Graphics Software ",1 month,/learn/autodesk-autocad-design-drafting,,,,,,,,,,0
Solar Energy Basics,4.8 stars,2.3k reviews,Solar Energy Basics course by The State University of New York,Beginner," Applied Mathematics, Operating Systems, Systems Design ",1-3 months,/learn/solar-energy-basics,,,,,,,,,,0
Big Data specialization ,4.5 stars,13.6k reviews,Big Data specialization by University of California San Diego,Beginner," Data Management, Big Data, Data Analysis ",3-6 months,/specializations/big-data,,,,,,,,,,0
Software Testing and Automation specialization ,4.3 stars,719 reviews,Software Testing and Automation specialization by University of Minnesota,Intermediate," Software Engineering, Software Testing, Computer Programming ",3-6 months,/specializations/software-testing-automation,,,,,,,,,,0
Introduction to Programming with MATLAB,4.8 stars,17.1k reviews,Introduction to Programming with MATLAB course by Vanderbilt University,Beginner," Computer Programming, Other Programming Languages, Matlab ",1-3 months,/learn/matlab,,,,,,,,,,0
Natural Language Processing with Attention Models,4.4 stars,900 reviews,Natural Language Processing with Attention Models course by DeepLearning.AI,Intermediate," Artificial Neural Networks, Deep Learning, Machine Learning ",1 month,/learn/attention-models-in-nlp,,,,,,,,,,0
Exploratory Data Analysis for Machine Learning,4.6 stars,1.3k reviews,Exploratory Data Analysis for Machine Learning course by IBM,Intermediate," Data Analysis, Machine Learning, Business Analysis ",1-3 months,/learn/ibm-exploratory-data-analysis-for-machine-learning,,,,,,,,,,0
Introduction to Agile Development and Scrum,4.9 stars,1.2k reviews,Introduction to Agile Development and Scrum course by IBM,Beginner," Software Engineering, Agile Software Development, Scrum (Software Development) ",1 month,/learn/agile-development-and-scrum,,,,,,,,,,0
Data Science with Databricks for Data Analysts specialization ,4.5 stars,501 reviews,Data Science with Databricks for Data Analysts specialization by Databricks,Intermediate," Data Management, Apache, Algorithms ",3-6 months,/specializations/data-science-with-databricks-for-data-analysts,,,,,,,,,,0
Mathematics for Engineers specialization ,4.8 stars,6.8k reviews,Mathematics for Engineers specialization by The Hong Kong University of Science and Technology,Beginner," Mathematics, Linear Algebra, Calculus ",3-6 months,/specializations/mathematics-engineers,,,,,,,,,,0
Getting Started with Generative AI API new specialization ,3.5 stars,13 reviews,Getting Started with Generative AI API new specialization by Codio,Beginner," Computer Programming, Computer Programming Tools, Python Programming ",1-3 months,/specializations/codio-generative-ai,,,,,,,,,,0
Code Yourself! An Introduction to Programming free,4.7 stars,3.2k reviews,Code Yourself! An Introduction to Programming free course by The University of Edinburgh,Beginner," Computational Thinking, Computer Programming, Algorithms ",1-3 months,/learn/intro-programming,,,,,,,,,,0
Embedding Sensors and Motors specialization ,4.6 stars,2.6k reviews,Embedding Sensors and Motors specialization by University of Colorado Boulder,Intermediate," Computer Architecture, Hardware Design, Design and Product ",3-6 months,/specializations/embedding-sensors-motors,,,,,,,,,,0
"Energy Production, Distribution & Safety specialization ",4.7 stars,10.2k reviews,Energy Production,Beginner," Computer Architecture, Computer Networking, Network Architecture ",3-6 months,/specializations/energy-industry,,,,,,,,,,0
Introduction to Git and GitHub,4.8 stars,6.9k reviews,Introduction to Git and GitHub course by Google,Beginner," Computer Programming, Computer Programming Tools, Application Development ",1 month,/learn/introduction-git-github,,,,,,,,,,0
CAD and Digital Manufacturing specialization ,4.7 stars,5k reviews,CAD and Digital Manufacturing specialization by Autodesk,Intermediate," Design and Product, Theoretical Computer Science, Product Design ",3-6 months,/specializations/cad-design-digital-manufacturing,,,,,,,,,,0
Introduction to Hardware and Operating Systems,4.8 stars,720 reviews,Introduction to Hardware and Operating Systems course by IBM,Beginner," Computer Architecture, Operating Systems, Hardware Design ",1-3 months,/learn/introduction-to-hardware-and-operating-systems,,,,,,,,,,0
Deploying Machine Learning Models in Production,4.5 stars,271 reviews,Deploying Machine Learning Models in Production course by DeepLearning.AI,Advanced," Machine Learning, DevOps, Applied Machine Learning ",1 month,/learn/deploying-machine-learning-models-in-production,,,,,,,,,,0
Gestion de projet de Google,4.5 stars,14 reviews,Gestion de projet de Google professional certificate by Google,Beginner," Strategy and Operations, Communication, Project Management ",3-6 months,/professional-certificates/gestion-de-projet-de-google,,,,,,,,,,0
Google شهادة تقنية المعلومات من,4.8 stars,419 reviews,Google شهادة تقنية المعلومات من professional certificate by Google,Beginner," Computer Networking, Security Engineering, Operating Systems ",3-6 months,/professional-certificates/google-it-arabic,,,,,,,,,,0
Object Oriented Programming specialization ,4.8 stars,27 reviews,Object Oriented Programming specialization by University of London,Intermediate," C++ Programming, Computer Programming, Communication ",1-3 months,/specializations/object-oriented-programming-s12n,,,,,,,,,,0
Systems Biology and Biotechnology specialization ,4.4 stars,922 reviews,Systems Biology and Biotechnology specialization by Icahn School of Medicine at Mount Sinai,Intermediate," Probability & Statistics, Bioinformatics, Experiment ",3-6 months,/specializations/systems-biology,,,,,,,,,,0
BIM Fundamentals for Engineers free,4.7 stars,1.5k reviews,BIM Fundamentals for Engineers free course by National Taiwan University,Beginner," Computer Graphics, Graphics Software ",1-3 months,/learn/bim-fundamentals,,,,,,,,,,0
Digitalisation in Aeronautics and Space specialization ,4.6 stars,370 reviews,Digitalisation in Aeronautics and Space specialization by Technische Universität München (TUM),Intermediate," Strategy and Operations, Computer Architecture, Computer Networking ",3-6 months,/specializations/aerospace,,,,,,,,,,0
Solar Energy System Design,4.7 stars,343 reviews,Solar Energy System Design course by The State University of New York,Intermediate," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months,/learn/solar-energy-system-design,,,,,,,,,,0
GPU Programming specialization ,2.7 stars,55 reviews,GPU Programming specialization by Johns Hopkins University,Intermediate," Computer Graphic Techniques, Computer Graphics, Computer Programming ",3-6 months,/specializations/gpu-programming,,,,,,,,,,0
Autodesk Certified Professional: Revit for Structural Design Exam Prep,4.7 stars,412 reviews,Autodesk Certified Professional: Revit for Structural Design Exam Prep course by Autodesk,Advanced," Computer Graphics, Graphics Software, Collaboration ",1 month,/learn/autodesk-revit-for-structural-design-exam-prep,,,,,,,,,,0
"Parallel, Concurrent, and Distributed Programming in Java specialization ",4.6 stars,1.6k reviews,Parallel,Intermediate," Computer Programming, Theoretical Computer Science, Java Programming ",3-6 months,/specializations/pcdp,,,,,,,,,,0
Introduction to Relational Databases (RDBMS),4.7 stars,405 reviews,Introduction to Relational Databases (RDBMS) course by IBM,Beginner," Data Management, Data Model, Database Theory ",1 month,/learn/introduction-to-relational-databases,,,,,,,,,,0
Fundamentals of Flight mechanics specialization ,4.7 stars,320 reviews,Fundamentals of Flight mechanics specialization by ISAE-SUPAERO,Beginner," Mathematics, Linear Algebra, Applied Mathematics ",3-6 months,/specializations/flight-mechanics-fundamentals,,,,,,,,,,0
Linux System Programming and Introduction to Buildroot,3.9 stars,45 reviews,Linux System Programming and Introduction to Buildroot course by University of Colorado Boulder,Advanced," Computer Programming, Operating Systems, Computer Programming Tools ",1 month,/learn/linux-system-programming-introduction-to-buildroot,,,,,,,,,,0
How Software Ate Finance free,4.7 stars,115 reviews,How Software Ate Finance free course by Stanford University,Mixed," Finance, FinTech, Banking ",1-3 months,/learn/how-software-ate-finance,,,,,,,,,,0
Managing Machine Learning Projects,4.7 stars,77 reviews,Managing Machine Learning Projects course by Duke University,Beginner," Machine Learning, Applied Machine Learning, Leadership and Management ",1-3 months,/learn/managing-machine-learning-projects,,,,,,,,,,0
Discrete Optimization free,4.8 stars,728 reviews,Discrete Optimization free course by The University of Melbourne,Intermediate," Computer Science, Mathematics, Applied Mathematics ",1-3 months,/learn/discrete-optimization,,,,,,,,,,0
A Practitioner's Approach to Power Distribution & Automation specialization ,4.6 stars,55 reviews,A Practitioner's Approach to Power Distribution & Automation specialization by L&T EduTech,Intermediate," Project Management, Strategy and Operations, Operating Systems ",3-6 months,/specializations/powerdistributionandautomation,,,,,,,,,,0
"ETL and Data Pipelines with Shell, Airflow and Kafka",4.5 stars,227 reviews,ETL and Data Pipelines with Shell,Intermediate," Extract, Transform, Load, Data Management, Data Warehousing ",1-3 months,/learn/etl-and-data-pipelines-shell-airflow-kafka,,,,,,,,,,0
Introduction to Industrial Bioprocess Development free,4.8 stars,62 reviews,Introduction to Industrial Bioprocess Development free course by Technical University of Denmark (DTU),Beginner," Business Analysis, Clinical Data Management, Computer Architecture ",1-3 months,/learn/industrial-bioprocess-development,,,,,,,,,,0
"Build AI Apps with ChatGPT, Dall-E, and GPT-4 new",3.9 stars,18 reviews,Build AI Apps with ChatGPT,Intermediate," Advertising, Business Psychology, Communication ",1 month,/learn/build-ai-apps-with-chatgpt-dalle-gpt4,,,,,,,,,,0
ChatGPT for Beginners: SciFi Writing with Dall-e new guided project ,3.7 stars,18 reviews,ChatGPT for Beginners: SciFi Writing with Dall-e new guided project by Coursera Project Network,Beginner," Human Computer Interaction, Communication, Critical Thinking ",1 month,/projects/chatgpt-dall-e-scifi-writing,,,,,,,,,,0
"Open Source Software Development, Linux and Git specialization ",4.6 stars,2.9k reviews,Open Source Software Development,Beginner," Operating Systems, Application Development, Software Engineering Tools ",3-6 months,/specializations/oss-development-linux-git,,,,,,,,,,0
Robotics: Aerial Robotics,4.5 stars,3k reviews,Robotics: Aerial Robotics course by University of Pennsylvania,Mixed," Entrepreneurship, Leadership and Management, Mathematics ",1 month,/learn/robotics-flight,,,,,,,,,,0
International Security Management free,4.7 stars,985 reviews,International Security Management free course by Erasmus University Rotterdam,Beginner," Entrepreneurship, Leadership and Management, Marketing ",1-3 months,/learn/international-security-management,,,,,,,,,,0
Databases for Data Scientists specialization ,4.7 stars,567 reviews,Databases for Data Scientists specialization by University of Colorado Boulder,Beginner," Databases, Data Management, Statistical Programming ",3-6 months,/specializations/databases-for-data-scientists,,,,,,,,,,0
Software Architecture Patterns for Big Data,3.8 stars,5 reviews,Software Architecture Patterns for Big Data course by University of Colorado Boulder,Advanced," Software Engineering, Software Testing, Big Data ",1 month,/learn/software-architecture-patterns-for-big-data,,,,,,,,,,0
Requirements Writing,4.6 stars,304 reviews,Requirements Writing course by UNSW Sydney (The University of New South Wales),Mixed," Design and Product, Product Design, Software Architecture ",1-3 months,/learn/requirements-writing,,,,,,,,,,0
"Remote Sensing Image Acquisition, Analysis and Applications",4.6 stars,113 reviews,Remote Sensing Image Acquisition,Intermediate," Machine Learning, Computer Vision, Algorithms ",3-6 months,/learn/remote-sensing,,,,,,,,,,0
"Solar Energy for Engineers, Architects and Code Inspectors specialization ",4.7 stars,1.2k reviews,Solar Energy for Engineers,Beginner," Operating Systems, Systems Design, Theoretical Computer Science ",3-6 months,/specializations/solar-energy,,,,,,,,,,0
Vital Skills for Data Science specialization ,4.3 stars,70 reviews,Vital Skills for Data Science specialization by University of Colorado Boulder,Intermediate," Data Management, Data Visualization, Databases ",3-6 months,/specializations/vital-skills-for-data-science,,,,,,,,,,0
"Modern Robotics, Course 1:  Foundations of Robot Motion",4.7 stars,888 reviews,Modern Robotics,Intermediate," Mathematics, Linear Algebra, Algebra ",1-3 months,/learn/modernrobotics-course1,,,,,,,,,,0
Human Factors in AI,4.7 stars,36 reviews,Human Factors in AI course by Duke University,Beginner," Machine Learning, Human Computer Interaction, Business Psychology ",1 month,/learn/human-factors-in-artificial-intelligence,,,,,,,,,,0
Materials Science for Technological Application specialization ,4.7 stars,26 reviews,Materials Science for Technological Application specialization by Arizona State University,Beginner," Computational Logic, Computer Programming, General Statistics ",3-6 months,/specializations/materials-science-for-technological-application,,,,,,,,,,0
Networking and Security Architecture with VMware NSX,4.7 stars,432 reviews,Networking and Security Architecture with VMware NSX course by VMware,Intermediate," Computer Networking, Information Technology, Software-Defined Networking ",1-3 months,/learn/networking-security-architecture-vmware-nsx,,,,,,,,,,0
Autodesk Generative Design for Manufacturing specialization ,4.8 stars,340 reviews,Autodesk Generative Design for Manufacturing specialization by Autodesk,Advanced," Computer Graphics, Design and Product, Graphic Design ",3-6 months,/specializations/autodesk-generative-design-manufacturing,,,,,,,,,,0
Introduction to iOS Mobile Application Development,4.7 stars,622 reviews,Introduction to iOS Mobile Application Development course by Meta,Beginner," Application Development, Mobile Development, Software Engineering ",1 month,/learn/introduction-to-ios-mobile-application-development,,,,,,,,,,0
Introduction to battery-management systems,4.8 stars,2k reviews,Introduction to battery-management systems course by University of Colorado Boulder,Intermediate," Leadership and Management, Design and Product, Entrepreneurship ",1-3 months,/learn/battery-management-systems,,,,,,,,,,0
Exploring Renewable Energy Schemes free,4.7 stars,541 reviews,Exploring Renewable Energy Schemes free course by University of Pennsylvania,Beginner," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months,/learn/exploring-renewable-energy,,,,,,,,,,0
Ethical Hacking Essentials (EHE),4.6 stars,172 reviews,Ethical Hacking Essentials (EHE) course by EC-Council,Beginner," Computer Networking, Network Security, Security Engineering ",1-3 months,/learn/ethical-hacking-essentials-ehe,,,,,,,,,,0
Hands-on Machine Learning with AWS and NVIDIA,2.5 stars,15 reviews,Hands-on Machine Learning with AWS and NVIDIA course by Amazon Web Services,Intermediate," Machine Learning, Adaptability, Amazon Web Services ",1 month,/learn/machine-learning-aws-nvidia,,,,,,,,,,0
3D CAD Fundamental free,4.7 stars,512 reviews,3D CAD Fundamental free course by National Taiwan University,Beginner," Computer Graphic Techniques, Computer Graphics, Algorithms ",1-3 months,/learn/3d-cad-fundamental,,,,,,,,,,0
Machine Learning with ChatGPT: Image Classification Model new guided project ,4.5 stars,13 reviews,Machine Learning with ChatGPT: Image Classification Model new guided project by Coursera Project Network,Intermediate," Machine Learning, Computer Programming, Python Programming ",1 month,/projects/machine-learning-with-chatgpt-image-classification-model,,,,,,,,,,0
BIM Application for Engineers free,4.7 stars,426 reviews,BIM Application for Engineers free course by National Taiwan University,Intermediate," Computer Graphics, Graphics Software, Budget Management ",1-3 months,/learn/bim-application,,,,,,,,,,0
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning new specialization ,2.3 stars,-,Exam Prep MLS-C01: AWS Certified Specialty Machine Learning new specialization by Whizlabs,Beginner," Algorithms, Data Management, Data Model ",1-3 months,/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty,,,,,,,,,,0
Getting Started with Generative AI APIs new,3.8 stars,10 reviews,Getting Started with Generative AI APIs new course by Codio,Beginner," Computer Programming, Computer Programming Tools, Python Programming ",1 month,/learn/codio-getting-started-with-generative-ai-api,,,,,,,,,,0
Artificial Creativity,4.5 stars,42 reviews,Artificial Creativity course by Parsons School of Design,Intermediate," Entrepreneurship, Research and Design, Creativity ",1-3 months,/learn/artificial-creativity,,,,,,,,,,0
Advanced Django: Mastering Django and Django Rest Framework specialization ,4.6 stars,108 reviews,Advanced Django: Mastering Django and Django Rest Framework specialization by Codio,Advanced," Computer Programming, Web Development, Advertising ",3-6 months,/specializations/codio-advanced-django-and-django-rest-framework,,,,,,,,,,0
"Energy, Environment, and Everyday Life",4.7 stars,205 reviews,Energy,Beginner," Business Analysis, Critical Thinking, Econometrics ",1-3 months,/learn/energy-environment-life,,,,,,,,,,0
Introduction to Java,4.6 stars,1.6k reviews,Introduction to Java course by LearnQuest,Beginner," Computer Programming, Java Programming, Data Management ",1 month,/learn/java-introduction,,,,,,,,,,0
Introduction to Data Analytics for Accounting Professionals,4.7 stars,49 reviews,Introduction to Data Analytics for Accounting Professionals course by Association of International Certified Professional Accountants,Beginner," Data Analysis, Data Management, Business Analysis ",1 month,/learn/intro-to-data-analytics,,,,,,,,,,0
Wireshark for Basic Network Security Analysis guided project ,4.5 stars,190 reviews,Wireshark for Basic Network Security Analysis guided project by Coursera Project Network,Intermediate," Computer Networking, Mathematics, Network Analysis ",1 month,/projects/wireshark-for-network-security,,,,,,,,,,0
Transmission electron microscopy for materials science free,4.6 stars,109 reviews,Transmission electron microscopy for materials science free course by École Polytechnique Fédérale de Lausanne,Intermediate," Algorithms, Theoretical Computer Science, Business Analysis ",1-3 months,/learn/microscopy,,,,,,,,,,0
AI and the Illusion of Intelligence,4.6 stars,7 reviews,AI and the Illusion of Intelligence course by Copenhagen Business School,Beginner," Machine Learning, Applied Machine Learning, Computational Thinking ",1 month,/learn/ai-and-the-illusion-of-intelligence,,,,,,,,,,0
International Cyber Conflicts free,4.5 stars,1.4k reviews,International Cyber Conflicts free course by The State University of New York,Mixed," Computer Networking, Computer Security Incident Management, Computer Security Models ",1-3 months,/learn/cyber-conflicts,,,,,,,,,,0
Product Development using AutoCAD guided project ,4.5 stars,92 reviews,Product Development using AutoCAD guided project by Coursera Project Network,Beginner," Computer Graphic Techniques, Computer Graphics, Graphics Software ",1 month,/projects/product-development-using-autocad,,,,,,,,,,0
Fundamentals of Materials Science free,4.6 stars,135 reviews,Fundamentals of Materials Science free course by Shanghai Jiao Tong University,Intermediate," Supply Chain and Logistics, Advertising, Communication ",3-6 months,/learn/fundamentals-of-materials-science,,,,,,,,,,0
Introduction to Applied Cryptography free,4.4 stars,18 reviews,Introduction to Applied Cryptography free course by University of London,Beginner," Cryptography, Security Engineering, Theoretical Computer Science ",1 month,/learn/introduction-to-applied-cryptography,,,,,,,,,,0
Visual Perception and the Brain free,4.6 stars,251 reviews,Visual Perception and the Brain free course by Duke University,Mixed," Entrepreneurship, Research and Design, Algorithms ",1-3 months,/learn/visual-perception,,,,,,,,,,0
Electric Power Systems,4.7 stars,7.2k reviews,Electric Power Systems course by University at Buffalo,Beginner," Computer Architecture, Computer Networking, Network Architecture ",1 month,/learn/electric-power-systems,,,,,,,,,,0
Object Oriented Development using C#,3.2 stars,10 reviews,Object Oriented Development using C# course by Jordan University of Science and Technology,Intermediate," Computer Programming, Programming Principles, Other Programming Languages ",1 month,/learn/oo-development-using-c-sharp,,,,,,,,,,0
Digitalisation in Aeronautics,4.7 stars,152 reviews,Digitalisation in Aeronautics course by Technische Universität München (TUM),Intermediate," Computer Architecture, Computer Networking, Network Architecture ",1-3 months,/learn/aeronautics,,,,,,,,,,0
Advanced Topics in Derivative Pricing,4.4 stars,16 reviews,Advanced Topics in Derivative Pricing course by Columbia University,Advanced," Finance, Risk Management, Investment Management ",1-3 months,/learn/financial-engineering-advancedtopics,,,,,,,,,,0
Relational Database Design,4.7 stars,121 reviews,Relational Database Design course by University of Colorado Boulder,Beginner," Database Design, Databases, Data Management ",1 month,/learn/relational-database-design,,,,,,,,,,0
"Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications",4.8 stars,494 reviews,Natural Attenuation of Groundwater Contaminants: New Paradigms,Advanced," Accounting, Audit, Mathematics ",1-3 months,/learn/natural-attenuation-of-groundwater-contaminants,,,,,,,,,,0
Performance Testing with JMeter for absolute beginners guided project ,4.5 stars,45 reviews,Performance Testing with JMeter for absolute beginners guided project by Coursera Project Network,beginner," Computer Programming, Entrepreneurship, Market Research ",1 month,/projects/performance-testing-with-jmeter-for-absolute-beginners,,,,,,,,,,0
Introduction to Solid Edge,4.8 stars,24 reviews,Introduction to Solid Edge course by Siemens,Beginner," Advertising, Communication, Marketing ",1-3 months,/learn/introduction-to-solid-edge,,,,,,,,,,0
Flight mechanics - The basis,4.7 stars,280 reviews,Flight mechanics - The basis course by ISAE-SUPAERO,Beginner," Linear Algebra, Mathematics, Computer Graphic Techniques ",1 month,/learn/basis-flight-mechanics,,,,,,,,,,0
"Problem Solving, Python Programming, and Video Games free",4.3 stars,208 reviews,Problem Solving,Beginner," Computer Programming, Python Programming, Statistical Programming ",1-3 months,/learn/problem-solving-programming-video-games,,,,,,,,,,0
MLOps Platforms: Amazon SageMaker and Azure ML new,4.2 stars,12 reviews,MLOps Platforms: Amazon SageMaker and Azure ML new course by Duke University,Advanced," Machine Learning, Microsoft Azure, Python Programming ",1-3 months,/learn/mlops-aws-azure-duke,,,,,,,,,,0
Motors and Motor Control Circuits,4.7 stars,1.3k reviews,Motors and Motor Control Circuits course by University of Colorado Boulder,Intermediate," Machine Learning, Computer Programming Tools ",1-3 months,/learn/motors-circuits-design,,,,,,,,,,0
Cybersecurity for Managers free,4.7 stars,299 reviews,Cybersecurity for Managers free course by Campus BBVA,Beginner," Security Engineering, Cyberattacks, Operating Systems ",1-3 months,/learn/cybersecurity-for-managers,,,,,,,,,,0
Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,4.8 stars,1.1k reviews,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360 course by Autodesk,Advanced," Algorithms, Computer Graphic Techniques, Computer Graphics ",1 month,/learn/modeling-design-mechanical-engineers,,,,,,,,,,0
Geospatial and Environmental Analysis,4.8 stars,1.2k reviews,Geospatial and Environmental Analysis course by University of California,Intermediate," ArcGIS, Statistical Programming, Data Analysis ",1 month,/learn/spatial-analysis,,,,,,,,,,0
Networks and Communications Security,4.7 stars,237 reviews,Networks and Communications Security course by ISC2,Beginner," Computer Architecture, Computer Networking, Network Architecture ",1-3 months,/learn/network-security-communications-sscp,,,,,,,,,,0
Mastering Statics free,4.8 stars,158 reviews,Mastering Statics free course by The Hong Kong University of Science and Technology,Intermediate," Mathematics, Mathematical Theory & Analysis ",1-3 months,/learn/mastering-statics,,,,,,,,,,0
Intel® Network Academy - Network Transformation 101 free,4.5 stars,487 reviews,Intel® Network Academy - Network Transformation 101 free course by Intel,Beginner," Computer Networking, Computer Architecture, Network Architecture ",1 month,/learn/network-transformation-101,,,,,,,,,,0
"Data Engineer, Big Data and ML on Google Cloud en Français specialization ",4.4 stars,47 reviews,Data Engineer,Intermediate," Cloud Computing, Google Cloud Platform, Business Psychology ",3-6 months,/specializations/gcp-data-machine-learning-fr,,,,,,,,,,0
Cybersecurity for Tech Professionals free,4.7 stars,86 reviews,Cybersecurity for Tech Professionals free course by Campus BBVA,Intermediate," Security Engineering, Operating Systems, System Security ",1-3 months,/learn/cybersecurity-for-tech-professionals,,,,,,,,,,0
Learn to Program: Crafting Quality Code free,4.6 stars,710 reviews,Learn to Program: Crafting Quality Code free course by University of Toronto,Mixed," Computer Programming, Computer Science, Python Programming ",1-3 months,/learn/program-code,,,,,,,,,,0
Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,4.8 stars,732 reviews,Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360 course by Autodesk,Intermediate," Algorithms, Data Analysis, Design and Product ",1 month,/learn/simulation-analysis-mechanical-engineers,,,,,,,,,,0
Build a Full Website using WordPress guided project ,4.4 stars,3.6k reviews,Build a Full Website using WordPress guided project by Coursera Project Network,Advanced," MarTech, Social Media, Software Engineering ",1 month,/projects/build-a-full-website-using-wordpress,,,,,,,,,,0
Introduction to Materials Science,4.7 stars,20 reviews,Introduction to Materials Science course by Arizona State University,Beginner," Computational Logic, Computer Programming, Java Programming ",1-3 months,/learn/introduction-to-materials-science,,,,,,,,,,0
Encryption and Decryption using C++ guided project ,4.8 stars,5 reviews,Encryption and Decryption using C++ guided project by Coursera Project Network,Intermediate," Cryptography, Security Engineering, Theoretical Computer Science ",1 month,/projects/encryption-decryption-cpp,,,,,,,,,,0
Digitalisation in the Aerospace Industry,4.6 stars,217 reviews,Digitalisation in the Aerospace Industry course by Technische Universität München (TUM),Intermediate," Strategy and Operations, Design and Product, Product Lifecycle ",1 month,/learn/industry,,,,,,,,,,0
Spatial Analysis and Satellite Imagery in a GIS,4.9 stars,528 reviews,Spatial Analysis and Satellite Imagery in a GIS course by University of Toronto,Beginner," ArcGIS, Data Analysis, Spatial Analysis ",1-3 months,/learn/spatial-analysis-satellite-imagery-in-a-gis,,,,,,,,,,0
Electrical Power Distribution,4.5 stars,39 reviews,Electrical Power Distribution course by L&T EduTech,Beginner," Project Management, Strategy and Operations, Operating Systems ",1-3 months,/learn/electrical-power-distribution,,,,,,,,,,0
Data-Driven Process Improvement,4.6 stars,171 reviews,Data-Driven Process Improvement course by University at Buffalo,Beginner," Strategy and Operations, Business Analysis, Business Process Management ",1 month,/learn/data-driven-process-improvement,,,,,,,,,,0
Solar Energy and Electrical System Design,4.7 stars,623 reviews,Solar Energy and Electrical System Design course by University at Buffalo,Intermediate," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months,/learn/solar-energy-and-electrical-system-design,,,,,,,,,,0
Build a free website with WordPress guided project ,4.4 stars,148 reviews,Build a free website with WordPress guided project by Coursera Project Network,Intermediate," Computer Programming, Computer Programming Tools, Front-End Web Development ",1 month,/projects/build-free-website-wordpress,,,,,,,,,,0
Project Planning and Machine Learning,4.6 stars,100 reviews,Project Planning and Machine Learning course by University of Colorado Boulder,Intermediate," Data Management, Machine Learning, Strategy and Operations ",1 month,/learn/industrial-iot-project-planning-machine-learning,,,,,,,,,,0
Leadership Principles for Software Engineers,4.7 stars,27 reviews,Leadership Principles for Software Engineers course by Advancing Women in Tech,Beginner," Human Resources, Leadership Development, Leadership and Management ",1 month,/learn/real-world-engineering-management-1,,,,,,,,,,0
Test Driven Development Process For Beginners In Python guided project ,3.1 stars,7 reviews,Test Driven Development Process For Beginners In Python guided project by Coursera Project Network,Beginner," Software Engineering, Software Testing, Python Programming ",1 month,/projects/test-driven-developing-for-beginners-in-python,,,,,,,,,,0
Build a mobile app with Google Sheets on Glide and no coding guided project ,4.5 stars,570 reviews,Build a mobile app with Google Sheets on Glide and no coding guided project by Coursera Project Network,Beginner," Application Development, Mobile Development, Software Engineering ",1 month,/projects/build-a-mobile-app-with-google-sheets-on-glide-and-no-coding,,,,,,,,,,0
Predictive Analytics for Business with H2O in R guided project ,4.9 stars,50 reviews,Predictive Analytics for Business with H2O in R guided project by Coursera Project Network,Intermediate," Algorithms, Big Data, Data Management ",1 month,/projects/predictive-analytics-business-h2o-r,,,,,,,,,,0
Introduction to Basic Game Development using Scratch guided project ,4.5 stars,1.3k reviews,Introduction to Basic Game Development using Scratch guided project by Coursera Project Network,Beginner," Application Development, Computational Thinking, Computer Programming ",1 month,/projects/introduction-to-basic-game-development-using-scratch,,,,,,,,,,0
The Age of Sustainable Development free,4.8 stars,3.3k reviews,The Age of Sustainable Development free course by Columbia University,Mixed," Entrepreneurship, Leadership and Management, Business Analysis ",3-6 months,/learn/sustainable-development,,,,,,,,,,0
Analysis of Algorithms free,4.5 stars,227 reviews,Analysis of Algorithms free course by Princeton University,Advanced," Mathematics, Mathematical Theory & Analysis, Algorithms ",1-3 months,/learn/analysis-of-algorithms,,,,,,,,,,0
